"","Metabolite","Enterococcus","Pseudomonas","Faecalibacterium","Lacticaseibacillus","Subdoligranulum","Rothia","Blautia","Veillonella","Clostridium sensu stricto 1","UCG-002","Ralstonia"
"1","cholate","0.359802764","0.064690447","-0.279303702","0.202249521","-0.010050905","0.039144267","-0.139295278","0.19824507","0.135067472","-0.311757428","0.059875904"
"2","linoleate (18:2n6)","0.155399853","0.223546289","-0.080346017","0.091518427","-0.100206995","0.081108703","-0.109903027","-0.05212395","0.205745956","-0.000651415","0.176118895"
"3","N-formylmethionine","-0.081538273","-0.162609698","0.072665394","-0.204973283","0.11277032","-0.178517602","0.15623158","-0.301057727","-0.211939149","0.332007951","-0.208513308"
"4","5-methylthioadenosine (MTA)","-0.057252687","-0.2063622","0.08733126","-0.194016941","-0.099453926","-0.254823635","0.196178871","-0.090703125","-0.190001349","0.301762126","-0.152792333"
"5","aspartate","0.355184634","0.294332052","-0.35863104","0.149765092","-0.312142045","0.274799414","-0.267553997","0.219256103","0.332135938","-0.179268263","0.311824618"
"6","biliverdin","0.12696333","0.283474991","-0.084385889","0.031758773","-0.137349891","0.115309783","-0.117060893","-0.133331319","0.057992547","-0.073411049","0.174011387"
"7","choline phosphate","-0.319534517","-0.280648256","0.266386275","-0.245122626","0.292606443","-0.257920962","0.328191715","-0.242824157","-0.098145309","0.326949091","-0.236369153"
"8","cystine","-0.23202644","-0.150749102","0.110832401","-0.037000598","0.041503641","-0.218999823","0.119130457","-0.126992084","-0.190740618","0.028655883","-0.098625164"
"9","sphingosine","-0.13160221","-0.251754765","0.055848579","-0.174898628","0.044121618","-0.137820246","0.214314751","-0.077060127","0.045574312","0.024370712","-0.236864462"
"10","glycocholate","0.30497147","0.217899014","-0.105037329","0.121526633","-0.147246173","0.210244869","-0.164105031","0.054592541","0.127570392","-0.116294997","0.160625606"
"11","histidine","-0.269362044","-0.284362013","0.207831386","-0.340203207","0.16416804","-0.290033928","0.195818634","-0.138990472","-0.083210192","0.117515844","-0.247051345"
"12","myo-inositol","-0.436170669","-0.236005692","0.295095739","-0.285036412","0.104767569","-0.323358336","0.294397314","-0.252885275","-0.210487583","0.224616201","-0.190421422"
"13","citrulline","-0.347037048","-0.410688108","0.138403438","-0.145767816","0.237991351","-0.24776405","0.221337328","-0.1592095","-0.125593035","0.224938922","-0.359469357"
"14","lysine","-0.283076846","-0.241299707","0.09107049","-0.198145937","0.100368647","-0.030916982","0.133998394","-0.229054741","0.002435433","0.257878226","-0.284498302"
"15","phenylalanine","0.244511586","0.262670608","-0.184335455","0.071891978","-0.207255826","0.051946886","-0.271950767","0.252580756","0.105774188","-0.079866027","0.284276284"
"16","proline","-0.137720553","-0.206818214","0.010871324","-0.101635124","0.01876686","-0.181649892","0.093959282","-0.096817832","-0.066066255","0.147205355","-0.186957296"
"17","retinol (vitamin A)","-0.360076425","-0.344547623","0.149673791","-0.186295014","0.119629226","-0.138914968","0.25884888","-0.244428023","-0.195730175","0.077254875","-0.341045595"
"18","salicylate","-0.255881302","-0.136253841","0.15567288","-0.187415056","0.243273172","-0.156179304","0.194058701","-0.157712257","-0.269357742","0.099051462","-0.271344271"
"19","serine","0.231985568","0.160621831","-0.220053983","0.010361568","-0.095163216","0.164036711","-0.077478581","0.190554905","0.241637034","-0.116428437","0.244669257"
"20","urea","-0.295408195","-0.228074487","0.163555595","-0.18448572","0.008006041","-0.297628552","0.194958583","-0.153543849","-0.236837478","0.218596872","-0.123815801"
"21","uridine","-0.252498086","-0.225224141","0.153422225","-0.076350351","0.052524151","-0.088423597","0.149710753","-0.101486191","0.025958469","0.069901087","-0.232191335"
"22","glutamine","-0.273430132","-0.273637561","0.178483412","-0.181906936","0.131599417","-0.13853867","0.248838628","-0.281524933","-0.082845815","0.27564245","-0.300575245"
"23","mannose","0.152981013","0.175013216","-0.139402405","0.160037898","-0.11994032","0.098085448","-0.112376567","0.18442583","0.043529073","-0.146265519","0.138313711"
"24","arachidate (20:0)","0.361036635","0.282387143","-0.066938667","0.214862951","-0.031437153","0.078800151","-0.117828053","0.049450676","0.149948812","-0.009731721","0.227232629"
"25","asparagine","-0.309355163","-0.14185668","0.211617534","-0.144395283","0.102217157","-0.075648948","0.117169022","-0.115942561","0.012052077","0.151755554","-0.209048714"
"26","caprylate (8:0)","-0.135472625","-0.25191558","0.173185652","-0.112569248","0.246733318","-0.137213318","0.197493887","-0.218335015","-0.286461802","0.192976462","-0.268947012"
"27","allantoin","-0.418260267","-0.358308822","0.312144408","-0.237471871","0.289450372","-0.283422766","0.290445673","-0.246038728","-0.257179912","0.206818178","-0.197544116"
"28","xanthine","-0.338672541","-0.120178855","0.185200367","-0.226677072","-0.039596064","-0.06431909","0.275727911","-0.190024638","0.046271476","0.139397383","-0.122228604"
"29","5-oxoproline","0.271991845","0.213685265","-0.248128682","0.01169666","-0.048571002","0.122680119","-0.173940532","0.040680081","0.168946583","-0.018175381","0.111290651"
"30","3-ureidopropionate","0.111742418","0.282839495","-0.113441926","0.106707695","-0.313092157","0.079866852","-0.173203088","0.072559546","0.2227452","-0.128751005","0.242625144"
"31","N-acetylleucine","-0.187952321","-0.103053329","0.186068872","-0.314451048","0.06411007","-0.35678079","0.223825234","-0.182028946","-0.080616738","0.107259229","-0.087806962"
"32","gamma-glutamyltyrosine","-0.099803483","-0.248447323","0.111818291","-0.141902286","0.082078224","-0.089439737","0.049633492","-0.124132397","-0.090308798","0.21518844","-0.274232481"
"33","N-acetylalanine","-0.151432439","-0.126734098","0.188451101","-0.187646562","0.040841078","-0.325163265","0.248277233","-0.339224849","-0.194419222","0.26836615","-0.171935468"
"34","3-aminoisobutyrate","-0.353807685","-0.150709904","0.293595674","-0.082840878","0.010459128","-0.270319721","0.221153481","-0.309566221","-0.103743005","0.220052255","-0.055807665"
"35","urate","-0.446382257","-0.37650456","0.301092345","-0.270687476","0.340968923","-0.236364681","0.343474668","-0.194341063","-0.221364781","0.259329271","-0.22587266"
"36","oleoyl ethanolamide","0.267390447","0.283535538","-0.107770369","0.295850453","-0.194656157","0.092893831","-0.17966691","0.106073589","0.170684055","-0.112325523","0.292148098"
"37","gamma-glutamylglutamine","-0.216895789","-0.260281857","0.182726884","-0.202783149","0.120006452","-0.132523512","0.16985009","-0.272960388","-0.029765138","0.264753487","-0.307379899"
"38","butyrate/isobutyrate (4:0)","-0.363168151","-0.290406132","0.270356099","-0.328524201","0.204452281","-0.299519754","0.279046751","-0.427700293","-0.30489236","0.331770971","-0.259807596"
"39","N-acetylglucosaminylasparagine","-0.139527828","-0.234800522","0.081244122","-0.058630933","0.018720082","-0.089447619","0.107255804","-0.098334175","-0.312516856","0.165021569","-0.242428965"
"40","creatine","-0.342695362","-0.205412703","0.340957539","-0.253036875","0.230373828","-0.080724533","0.117684732","-0.255773735","-0.112491401","0.10036095","0.004886064"
"41","cys-gly, oxidized","-0.065095977","-0.161150547","0.148080761","-0.199236112","0.241448651","-0.20861943","0.189641111","-0.412952044","-0.192958259","0.215047955","-0.166361899"
"42","gamma-glutamylhistidine","-0.202164003","-0.156833281","0.215298465","-0.268362042","0.156423677","-0.168126903","0.165854676","-0.348769249","-0.224686905","0.160288932","-0.282472"
"43","choline","-0.300795824","-0.209127527","0.203835432","-0.370908484","0.050687181","-0.205801377","0.258599021","-0.171468793","-0.050235272","0.195144872","-0.184960144"
"44","anthranilate","-0.364902546","-0.348905496","0.285682243","-0.462755076","0.142251072","-0.327604554","0.361203909","-0.345246744","-0.312351008","0.399630115","-0.286206891"
"45","gamma-glutamylleucine","-0.270772603","-0.31780333","0.17724179","-0.200906796","0.170448584","-0.310152821","0.184682283","-0.151123171","-0.220860297","0.155575297","-0.273400222"
"46","1-palmitoyl-2-oleoyl-GPE (16:0/18:1)","0.22645241","0.304279517","-0.147739254","0.064614905","-0.219072748","0.165488454","-0.174680332","0.048890479","0.115671669","-0.097038368","0.267544014"
"47","1-palmitoyl-2-linoleoyl-GPI (16:0/18:2)","0.166926505","0.14030576","-0.218094387","0.011209519","-0.032634371","0.209968376","-0.098025285","-0.025841296","0.183632153","-0.146173926","0.278973846"
"48","1-palmitoyl-2-oleoyl-GPC (16:0/18:1)","0.189947992","0.298370358","-0.180992069","0.135017681","-0.210232253","0.126136673","-0.232108911","0.072907032","0.171250619","-0.160935718","0.226259837"
"49","taurochenodeoxycholate","0.348318605","0.278236885","-0.119641667","0.130346864","-0.10332354","0.150572561","-0.125635722","0.103405571","0.142503527","-0.16940024","0.171991057"
"50","taurocholate","0.32347369","0.284256499","-0.109128054","0.105934902","-0.150071546","0.112812402","-0.218461377","0.060792056","0.107524666","-0.118165047","0.145757059"
"51","benzoate","-0.127979973","-0.232789235","0.150876052","0.01201717","0.156703804","-0.116022727","0.069269469","0.032725292","-0.142611337","0.100338381","-0.2540748"
"52","hippurate","-0.296474554","-0.37290063","0.208157254","-0.357258796","0.231778243","-0.459260395","0.264393995","-0.214535683","-0.322290099","0.291321273","-0.422776629"
"53","3-methylhistidine","-0.238325999","-0.34070397","0.243296019","-0.191188422","0.179657776","-0.152962494","0.144433001","-0.184593262","-0.116800068","0.309857729","-0.220415993"
"54","glycerol 3-phosphate","-0.265054789","-0.147028181","0.217395872","-0.142936086","0.204939112","-0.139051732","0.226800692","-0.200479949","-0.002493877","0.273773565","-0.130859196"
"55","glycerophosphorylcholine (GPC)","-0.249533641","-0.229646121","0.086689423","-0.210006312","0.195724222","0.000542089","0.221880215","-0.273190033","0.017636053","0.190998738","-0.178289064"
"56","1,5-anhydroglucitol (1,5-AG)","-0.321703099","-0.208921979","0.34989002","-0.212834931","0.141968473","-0.149744869","0.268433357","-0.342335891","-0.24920814","0.399488584","-0.18112546"
"57","1,2-dipalmitoyl-GPC (16:0/16:0)","0.215173155","0.2141185","-0.198623042","0.002523714","-0.162180398","0.167426262","-0.242919742","0.161823813","0.040602327","-0.115789404","0.170808369"
"58","isovalerate (i5:0)","-0.32073241","-0.211053664","0.169451267","-0.259874824","0.167487889","-0.357940566","0.281504037","-0.265728936","-0.143618738","0.139911496","-0.181429248"
"59","tartronate (hydroxymalonate)","-0.347277288","-0.113067375","0.14397797","-0.099431841","0.146118016","-0.147928986","0.090594468","-0.010154706","0.002766329","0.051021339","-0.127859385"
"60","oxalate (ethanedioate)","-0.387510291","-0.127457532","0.242309887","-0.108653452","0.214466442","-0.20492635","0.128341561","-0.013128206","-0.157404723","0.140935924","-0.141039999"
"61","homoarginine","-0.321737969","-0.209574841","0.138768943","-0.099586028","0.18634308","-0.043669509","0.137727062","-0.012980166","0.126453545","0.201475987","-0.164863421"
"62","threonate","-0.440185859","-0.182820125","0.308202704","-0.108572637","0.219031769","-0.192386154","0.180927757","-0.026484904","-0.235987126","0.246939958","-0.214000356"
"63","indoleacetate","-0.398903348","-0.502871069","0.368213962","-0.316760183","0.229869897","-0.383036008","0.376223727","-0.168826287","-0.345478279","0.352518071","-0.370875456"
"64","1-methylhistidine","-0.291159468","-0.218643051","0.354360789","-0.214127274","0.1649223","-0.236973811","0.260440953","-0.257689687","-0.280117193","0.301410169","-0.106282876"
"65","isobutyrylcarnitine (C4)","-0.243650396","-0.159198899","0.202901391","-0.346346787","-0.055598146","-0.243579828","0.177240464","-0.045956377","-0.173733366","0.083382155","-0.027103339"
"66","trigonelline (N'-methylnicotinate)","-0.300870285","-0.376496167","0.192962726","-0.082487852","0.220094828","-0.168668713","0.131876289","-0.234076302","-0.305076824","0.218564465","-0.410353229"
"67","dodecanedioate (C12-DC)","-0.17270387","-0.235730313","0.118300709","-0.079617153","0.115430606","-0.074802302","0.096683211","-0.260375626","-0.23872473","0.117637774","-0.242722038"
"68","1-methyl-4-imidazoleacetate","-0.238385515","-0.235797986","0.297955138","-0.243667813","0.075513589","-0.266158224","0.223937976","-0.323800477","-0.345426239","0.356968785","-0.409180124"
"69","N-acetyltryptophan","-0.066366518","-0.175257311","0.017953561","-0.297434487","0.076908446","-0.153833192","0.080099411","-0.067693031","-0.171013443","0.097408623","-0.280272784"
"70","1-palmitoyl-GPC (16:0)","-0.213865893","-0.199265712","-0.019319222","-0.275622585","0.17406866","-0.028449961","0.203925099","-0.257414336","0.006180782","0.063730222","-0.145244023"
"71","N-acetylarginine","-0.208012889","-0.201473955","0.086662493","-0.26723392","0.082954834","-0.127120051","0.266198845","-0.142736816","-0.003214231","0.118207556","-0.106456827"
"72","epiandrosterone sulfate","-0.331636208","-0.204557899","0.345319452","-0.089609123","0.17306946","-0.240346656","0.158688479","-0.088999428","-0.237980757","0.201014182","-0.13621361"
"73","gamma-glutamylglycine","-0.091615419","-0.169742178","0.116826663","-0.171642398","0.093073518","-0.115253614","0.138893883","-0.228896059","-0.097160364","0.239631464","-0.157132536"
"74","alpha-hydroxyisovalerate","0.260060763","0.241054598","-0.13776777","0.16470849","-0.186911407","0.010158412","-0.198019325","0.100911081","0.17166882","-0.150964949","0.202550286"
"75","p-cresol sulfate","-0.483637675","-0.561961243","0.272894244","-0.452038226","0.323825045","-0.40806661","0.423259973","-0.294086858","-0.394262383","0.354054932","-0.50884581"
"76","erythronate","-0.052439984","-0.242390244","0.104949015","-0.109412307","0.030940073","-0.25735545","0.073057736","-0.145565354","-0.266457252","0.170834559","-0.217556306"
"77","linolenate [alpha or gamma; (18:3n3 or 6)]","0.253391615","0.224136719","-0.129665286","0.108759795","-0.131457636","0.142302858","-0.173928758","-0.001169784","0.236484393","-0.001507721","0.188796299"
"78","isovalerylcarnitine (C5)","-0.290463002","-0.116677295","0.247763594","-0.189291409","-0.034606283","-0.292671627","0.134169598","-0.174504734","-0.178057026","0.249583919","-0.013445234"
"79","1-linoleoyl-GPC (18:2)","-0.187367932","-0.214098459","0.077651567","-0.177636718","0.217689607","-0.049752168","0.20055853","-0.150533856","0.03074193","0.14673566","-0.130988678"
"80","1-methylurate","-0.100169849","-0.284744823","0.042952946","-0.131101044","0.268747486","-0.211135058","0.015488369","-0.081854494","-0.355557738","0.011009931","-0.169035755"
"81","phenylacetylglutamine","-0.28389222","-0.548342106","0.213490283","-0.382253402","0.200178061","-0.404463387","0.355942383","-0.304219144","-0.35453355","0.343632977","-0.421061499"
"82","4-hydroxyhippurate","-0.481902883","-0.493791558","0.377483117","-0.376707079","0.280617172","-0.377501741","0.396327361","-0.325197223","-0.351927645","0.438202883","-0.45857124"
"83","5-methyluridine (ribothymidine)","-0.337466906","-0.340092515","0.189442149","-0.167733477","0.137820854","-0.240891968","0.25740493","-0.238265741","-0.201280906","0.447125792","-0.281635894"
"84","N1-methyl-2-pyridone-5-carboxamide","-0.190763116","-0.146215341","0.109638637","-0.21364022","0.076041004","-0.157658335","0.080472488","-0.114623468","-0.138200409","0.161784816","-0.154056099"
"85","phenol sulfate","-0.428635321","-0.444401977","0.33933227","-0.47662065","0.201127654","-0.397128285","0.441589623","-0.217818997","-0.278890997","0.247803674","-0.355863641"
"86","1-palmitoleoyl-GPC (16:1)","-0.198003938","-0.208877484","-0.082266344","-0.147568622","0.063947967","0.006118535","0.156838958","-0.176992696","-0.023739477","0.011596773","-0.205233347"
"87","2-hydroxy-3-methylvalerate","0.378065794","0.122527928","-0.196389177","0.246387197","-0.117945427","-0.021663188","-0.188658325","0.166538335","0.191005095","-0.121383226","0.141859548"
"88","homostachydrine","-0.403579789","-0.29452478","0.237028984","-0.058618627","0.121770723","-0.199747709","0.18133932","-0.072620397","-0.223814129","0.163846127","-0.329299516"
"89","1-arachidonoyl-GPC (20:4n6)","-0.309069792","-0.213579074","0.004910734","-0.221718771","0.208889575","-0.029390373","0.235171563","-0.285392964","-0.052622921","0.149739928","-0.181797177"
"90","2-palmitoyl-GPC (16:0)","-0.27190691","-0.249115699","0.009200348","-0.31858368","0.23641651","-0.104289082","0.267718096","-0.23195121","-0.048821823","0.082974202","-0.150577526"
"91","glutarylcarnitine (C5-DC)","-0.314114054","-0.243513044","0.286670242","-0.295013489","0.09788792","-0.355530917","0.285153427","-0.223419366","-0.301730834","0.239869429","-0.221505981"
"92","catechol sulfate","-0.471762053","-0.550910553","0.309747233","-0.358956915","0.307293705","-0.471580501","0.329812833","-0.357919079","-0.437192482","0.303487758","-0.569566044"
"93","1-myristoylglycerol (14:0)","-0.139748819","-0.27325303","-0.029252834","-0.031575119","0.084690617","0.051453713","0.11676502","-0.072972569","-0.151198363","0.023001883","-0.285541095"
"94","glycerophosphoethanolamine","-0.279324457","-0.194343031","0.139838952","-0.171814047","0.235816928","-0.012192759","0.191979773","-0.259008628","0.085948943","0.260349231","-0.144932087"
"95","ectoine","-0.181465277","-0.254570072","0.151535463","-0.113874231","0.110969053","-0.068375525","0.178050119","-0.142443284","-0.122539769","0.205650576","-0.245981947"
"96","glycolithocholate sulfate","-0.346129504","-0.327458257","0.242552575","-0.436926589","0.098445201","-0.257276502","0.368730513","-0.27758039","-0.323510319","0.411007839","-0.311192732"
"97","1-ribosyl-imidazoleacetate","-0.099446176","-0.190308693","0.039111947","-0.12637118","0.019510487","-0.184682522","0.128926772","-0.181643439","-0.172931926","0.123744288","-0.274876791"
"98","tryptophan betaine","-0.274098176","-0.27697823","0.256820899","-0.063028543","0.086637956","-0.235703283","0.175921894","-0.205430584","-0.176157287","0.099236532","-0.328842006"
"99","4-vinylphenol sulfate","-0.127697451","-0.304122277","0.076400519","-0.016591974","0.197696473","-0.23493598","0.113058303","-0.183132987","-0.242439365","0.089224232","-0.313529794"
"100","dimethylarginine (SDMA + ADMA)","-0.294920849","-0.190767898","0.218540512","-0.198509717","0.033388381","-0.225678722","0.238700181","-0.350443391","-0.096585945","0.31753943","-0.169132588"
"101","N-acetylserine","-0.180435489","-0.120167727","0.17231338","-0.179470049","-0.00436809","-0.259311528","0.224014791","-0.249356472","-0.087901665","0.293227352","-0.08474858"
"102","1-stearoyl-2-oleoyl-GPE (18:0/18:1)","0.254542831","0.2644872","-0.093864844","0.060318386","-0.132676339","0.128049853","-0.188796226","0.078872877","0.121663101","-0.058412052","0.20359105"
"103","1-palmitoyl-2-linoleoyl-GPE (16:0/18:2)","0.275941806","0.275826259","-0.095574093","0.060540305","-0.199549751","0.122082984","-0.167038174","0.049268375","0.212154282","-0.077340289","0.284921772"
"104","sphinganine-1-phosphate","0.289182254","0.079733518","-0.222355754","0.067233068","-0.095034599","0.083297117","-0.259227628","0.269597451","0.217404838","-0.120706035","0.183420117"
"105","glycosyl-N-stearoyl-sphingosine (d18:1/18:0)","-0.192435777","-0.167467791","0.148258964","-0.190179788","0.063697959","-0.167488565","0.233730273","-0.257945278","0.019685399","0.269642851","-0.160955103"
"106","beta-cryptoxanthin","-0.405995866","-0.013850518","0.307132418","-0.079085795","0.231384754","-0.154263671","0.077451633","0.055447733","-0.157553437","0.107372225","-0.163661032"
